"wojewodztwo","liczba_przypadkow","liczba_na_10_tys_mieszkancow","zgony","zgony_w_wyniku_covid_bez_chorob_wspolistniejacych","zgony_w_wyniku_covid_i_chorob_wspolistniejacych","liczba_zlecen_poz","liczba_osob_objetych_kwarantanna","liczba_wykonanych_testow","liczba_testow_z_wynikiem_pozytywnym","liczba_testow_z_wynikiem_negatywnym","liczba_pozostalych_testow","teryt","stan_rekordu_na","name","Date","liczba_ozdrowiencow"
"Cały kraj",10141,2.64,540,55,485,40085,348135,47540,11502,34425,1613,"t00",2020-11-23,"20201124060000_rap_rcb_woj_eksport.csv",2020-11-24,NA
"dolnośląskie",1033,3.56,51,1,50,3060,27474,4161,1162,2864,135,"t02",2020-11-23,"20201124060000_rap_rcb_woj_eksport.csv",2020-11-24,NA
"kujawsko-pomorskie",529,2.56,17,0,17,2982,20381,2691,603,2034,54,"t04",2020-11-23,"20201124060000_rap_rcb_woj_eksport.csv",2020-11-24,NA
"lubelskie",671,3.19,8,2,6,2216,19016,2280,757,1489,34,"t06",2020-11-23,"20201124060000_rap_rcb_woj_eksport.csv",2020-11-24,NA
"lubuskie",267,2.64,14,5,9,1199,10727,1084,305,743,36,"t08",2020-11-23,"20201124060000_rap_rcb_woj_eksport.csv",2020-11-24,NA
"łódzkie",561,2.29,39,10,29,2517,20721,3067,658,2304,105,"t10",2020-11-23,"20201124060000_rap_rcb_woj_eksport.csv",2020-11-24,NA
"małopolskie",489,1.43,64,19,45,2072,22873,3614,584,2913,117,"t12",2020-11-23,"20201124060000_rap_rcb_woj_eksport.csv",2020-11-24,NA
"mazowieckie",1181,2.18,51,1,50,5425,46914,5979,1453,4293,233,"t14",2020-11-23,"20201124060000_rap_rcb_woj_eksport.csv",2020-11-24,NA
"opolskie",514,5.24,24,0,24,1096,11191,1390,536,803,51,"t16",2020-11-23,"20201124060000_rap_rcb_woj_eksport.csv",2020-11-24,NA
"podkarpackie",540,2.54,13,3,10,1241,15080,2377,577,1768,32,"t18",2020-11-23,"20201124060000_rap_rcb_woj_eksport.csv",2020-11-24,NA
"podlaskie",309,2.63,19,0,19,1187,10479,1236,335,895,6,"t20",2020-11-23,"20201124060000_rap_rcb_woj_eksport.csv",2020-11-24,NA
"pomorskie",989,4.21,35,3,32,2682,24695,3711,1101,2395,215,"t22",2020-11-23,"20201124060000_rap_rcb_woj_eksport.csv",2020-11-24,NA
"śląskie",944,2.09,77,3,74,4350,37631,4738,1070,3553,115,"t24",2020-11-23,"20201124060000_rap_rcb_woj_eksport.csv",2020-11-24,NA
"świętokrzyskie",359,2.92,17,0,17,832,8674,1381,387,904,90,"t26",2020-11-23,"20201124060000_rap_rcb_woj_eksport.csv",2020-11-24,NA
"warmińsko-mazurskie",476,3.35,31,2,29,2457,16286,1866,522,1297,47,"t28",2020-11-23,"20201124060000_rap_rcb_woj_eksport.csv",2020-11-24,NA
"wielkopolskie",649,1.85,41,1,40,4460,39282,2782,734,1962,86,"t30",2020-11-23,"20201124060000_rap_rcb_woj_eksport.csv",2020-11-24,NA
"zachodniopomorskie",460,2.72,39,5,34,2309,16711,1841,522,1260,59,"t32",2020-11-23,"20201124060000_rap_rcb_woj_eksport.csv",2020-11-24,NA
"Cały kraj",15360,4,674,152,522,23488,341659,54288,16672,36105,1511,"t00",2020-11-24,"20201125060000_rap_rcb_woj_eksport.csv",2020-11-25,NA
"dolnośląskie",820,2.83,37,21,16,1788,27332,3671,935,2643,93,"t02",2020-11-24,"20201125060000_rap_rcb_woj_eksport.csv",2020-11-25,NA
"kujawsko-pomorskie",1327,6.41,35,13,22,1727,20641,4925,1380,3449,96,"t04",2020-11-24,"20201125060000_rap_rcb_woj_eksport.csv",2020-11-25,NA
"lubelskie",939,4.46,52,3,49,1177,18522,2803,1063,1637,103,"t06",2020-11-24,"20201125060000_rap_rcb_woj_eksport.csv",2020-11-25,NA
